Nome completo,Clube,UF,SVG,Medio,Grande,Feminino,Masculino,Libertadores (masculina),Info sobre alteração de nome,,,,,
Avaí Futebol Clube,Avaí,SC,sc_avai.svg,sc_avai_512x512.png,sc_avai_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Criciúma Esporte Clube,Criciúma,SC,sc_criciuma.svg,sc_criciuma_512x512.png,sc_criciuma_3000x3000.png,Brasileiro série A3,Brasileiro série B,não participou,,,,,,
Associação Atlética Ponte Preta,Ponte Preta,SP,sp_ponte-preta.svg,sp_ponte-preta_512x512.png,sp_ponte-preta_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Botafogo Futebol S/A ,Botafogo-SP,SP,sp_botafogo-sp.svg,sp_botafogo-sp_512x512.png,sp_botafogo-sp_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Gremio Novorizontino SAF,Novorizontino,SP,sp_novorizontino.svg,sp_novorizontino_512x512.png,sp_novorizontino_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
São Bernardo Futebol Clube SAF,São Bernardo,SP,sp_sao-bernardo.svg,sp_sao-bernardo_512x512.png,sp_sao-bernardo_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Amazonas FC - Sociedade Anonima de Futebol,Amazonas,AM,am_amazonas.svg,am_amazonas_512x512.png,am_amazonas_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Floresta Esporte Clube,Floresta,CE,ce_floresta.svg,ce_floresta_512x512.png,ce_floresta_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Anápolis Futebol Clube,Anápolis,GO,go_anapolis.svg,go_anapolis_512x512.png,go_anapolis_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Maranhão Atletico Clube,Maranhão,MA,ma_maranhao.svg,ma_maranhao_512x512.png,ma_maranhao_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Paysandu Sport Club,Paysandu,PA,pa_paysandu.svg,pa_paysandu_512x512.png,pa_paysandu_3000x3000.png,Brasileiro série A2,Brasileiro série C,não participou,,,,,,
Botafogo Futebol Clube,Botafogo-PB,PB,pb_botafogo-pb.svg,pb_botafogo-pb_512x512.png,pb_botafogo-pb_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Santa Cruz Futebol Clube,Santa Cruz,PE,pe_santa-cruz.svg,pe_santa-cruz_512x512.png,pe_santa-cruz_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Maringá Futebol Clube SAF,Maringá,PR,pr_maringa.svg,pr_maringa_512x512.png,pr_maringa_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Volta Redonda Futebol Clube,Volta Redonda,RJ,rj_volta-redonda.svg,rj_volta-redonda_512x512.png,rj_volta-redonda_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Sociedade Esportiva e Recreativa Caxias do Sul,Caxias,RS,rs_caxias.svg,rs_caxias_512x512.png,rs_caxias_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Ypiranga Futebol Clube,Ypiranga,RS,rs_ypiranga.svg,rs_ypiranga_512x512.png,rs_ypiranga_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Barra Futebol Clube Ltda,Barra,SC,sc_barra.svg,sc_barra_512x512.png,sc_barra_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Brusque Futebol Clube SAF,Brusque,SC,sc_brusque.svg,sc_brusque_512x512.png,sc_brusque_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Figueirense Futebol Clube SAF,Figueirense,SC,sc_figueirense.svg,sc_figueirense_512x512.png,sc_figueirense_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Associação Desportiva Confiança,Confiança,SE,se_confianca.svg,se_confianca_512x512.png,se_confianca_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Associação Olímpica de Itabaiana,Itabaiana,SE,se_itabaiana.svg,se_itabaiana_512x512.png,se_itabaiana_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Associação Atlética Internacional,Inter de Limeira,SP,sp_inter-de-limeira.svg,sp_inter-de-limeira_512x512.png,sp_inter-de-limeira_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Ferroviária SAF,Ferroviária,SP,sp_ferroviaria.svg,sp_ferroviaria_512x512.png,sp_ferroviaria_3000x3000.png,Brasileiro série A1,Brasileiro série C,não participou,,,,,,
Guarani Futebol Clube,Guarani,SP,sp_guarani.svg,sp_guarani_512x512.png,sp_guarani_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Ituano Futebol Clube,Ituano,SP,sp_ituano.svg,sp_ituano_512x512.png,sp_ituano_3000x3000.png,não participou,Brasileiro série C,não participou,,,,,,
Galvez Esporte Clube,Galvez,AC,ac_galvez.svg,ac_galvez_512x512.png,ac_galvez_3000x3000.png,Brasileiro série A3,Brasileiro série D,não participou,,,,,,
Sport Clube Humaitá,Humaitá,AC,ac_humaita-ac.svg,ac_humaita-ac_512x512.png,ac_humaita-ac_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Independência Futebol Clube,Independência,AC,ac_independencia-ac.svg,ac_independencia-ac_512x512.png,ac_independencia-ac_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Agremiação Sportiva Arapiraquense (ASA),ASA,AL,al_asa.svg,al_asa_512x512.png,al_asa_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Centro Sportivo Alagoano,CSA,AL,al_csa.svg,al_csa_512x512.png,al_csa_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Clube Sociedade Esportiva - CSE,CSE,AL,al_cse.svg,al_cse_512x512.png,al_cse_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Manauara Esporte Clube,Manauara,AM,am_manauara.svg,am_manauara_512x512.png,am_manauara_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Manaus Futebol Clube,Manaus,AM,am_manaus.svg,am_manaus_512x512.png,am_manaus_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Nacional Futebol Clube,Nacional,AM,am_nacional-am.svg,am_nacional-am_512x512.png,am_nacional-am_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Oratório Recreativo Clube,Oratório,AP,ap_oratorio.svg,ap_oratorio_512x512.png,ap_oratorio_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Trem Desportivo Clube,Trem,AP,ap_trem.svg,ap_trem_512x512.png,ap_trem_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Alagoinhas Atlético Clube,Atlético de Alagoinhas,BA,ba_atletico-de-alagoinhas.svg,ba_atletico-de-alagoinhas_512x512.png,ba_atletico-de-alagoinhas_3000x3000.png,Brasileiro série A3,Brasileiro série D,não participou,,,,,,
Esporte Clube Jacuipense,Jacuipense,BA,ba_jacuipense.svg,ba_jacuipense_512x512.png,ba_jacuipense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Sociedade Desportiva Juazeirense,Juazeirense,BA,ba_juazeirense.svg,ba_juazeirense_512x512.png,ba_juazeirense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Porto Seguro SAF,Porto,BA,ba_porto-ba.svg,ba_porto-ba_512x512.png,ba_porto-ba_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Futebol Clube Atlético Cearense,Atlético Cearense,CE,ce_atletico-cearense.svg,ce_atletico-cearense_512x512.png,ce_atletico-cearense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Ferroviário Atlético Clube,Ferroviário-CE,CE,ce_ferroviario-ce.svg,ce_ferroviario-ce_512x512.png,ce_ferroviario-ce_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Associação Desportiva Iguatu,Iguatu,CE,ce_iguatu.svg,ce_iguatu_512x512.png,ce_iguatu_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Maracanã Esporte Clube,Maracanã,CE,ce_maracana.svg,ce_maracana_512x512.png,ce_maracana_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Saf Centro de Formação de Atletas do Tirol,Tirol,CE,ce_tirol.svg,ce_tirol_512x512.png,ce_tirol_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Brasiliense Futebol Clube - Sociedade Anônima do Futebol,Brasiliense,DF,df_brasiliense.svg,df_brasiliense_512x512.png,df_brasiliense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Capital Sociedade Anônima do Futebol,Capital CF,DF,df_capital-cf.svg,df_capital-cf_512x512.png,df_capital-cf_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Ceilândia Esporte Clube SAF,Ceilândia,DF,df_ceilandia.svg,df_ceilandia_512x512.png,df_ceilandia_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Sociedade Esportiva do Gama,Gama,DF,df_gama.svg,df_gama_512x512.png,df_gama_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Real Noroeste Capixaba Futebol Clube Ltda,Real Noroeste,ES,es_real-noroeste.svg,es_real-noroeste_512x512.png,es_real-noroeste_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Rio Branco Atletico Clube Sociedade Anonima do Futebol,Rio Branco-ES,ES,es_rio-branco-es.svg,es_rio-branco-es_512x512.png,es_rio-branco-es_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Vitoria Futebol Clube,Vitória-ES,ES,es_vitoria-es.svg,es_vitoria-es_512x512.png,es_vitoria-es_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
ABECAT - Ouvidorense SAF,ABECAT,GO,go_abecat-ouvidorense.svg,go_abecat-ouvidorense_512x512.png,go_abecat-ouvidorense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Associação Atlética Aparecidense,Aparecidense,GO,go_aparecidense.svg,go_aparecidense_512x512.png,go_aparecidense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
CRAC - Clube Recreativo E Atletico Catalano,CRAC,GO,go_crac.svg,go_crac_512x512.png,go_crac_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Goiatuba Esporte Clube,Goiatuba,GO,go_goiatuba.svg,go_goiatuba_512x512.png,go_goiatuba_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Inhumas Esporte Clube,Inhumas,GO,go_inhumas.svg,go_inhumas_512x512.png,go_inhumas_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
IAPE - Instituto de Administração de Projeto Educacional,IAPE,MA,ma_iape.svg,ma_iape_512x512.png,ma_iape_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
