Nome completo,Clube,UF,SVG,Medio,Grande,Feminino,Masculino,Libertadores (masculina),Info sobre alteração de nome,,,,,
Grêmio Esportivo Brasil,Brasil de Pelotas,RS,rs_brasil-de-pelotas.svg,rs_brasil-de-pelotas_512x512.png,rs_brasil-de-pelotas_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Guarany Futebol Clube,Guarany de Bage,RS,rs_guarany-de-bage.svg,rs_guarany-de-bage_512x512.png,rs_guarany-de-bage_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Esporte Clube São José,São José-RS,RS,rs_sao-jose-rs.svg,rs_sao-jose-rs_512x512.png,rs_sao-jose-rs_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Esporte Clube São Luiz,São Luiz-RS,RS,rs_sao-luiz.svg,rs_sao-luiz_512x512.png,rs_sao-luiz_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Blumenau Esporte Clube SAF,Blumenau,SC,sc_blumenau.svg,sc_blumenau_512x512.png,sc_blumenau_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Joinville Esporte Clube,Joinville,SC,sc_joinville.svg,sc_joinville_512x512.png,sc_joinville_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Clube Náutico Marcílio Dias,Marcílio Dias,SC,sc_marcilio-dias.svg,sc_marcilio-dias_512x512.png,sc_marcilio-dias_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Santa Catarina Clube,Santa Catarina,SC,sc_santa-catarina.svg,sc_santa-catarina_512x512.png,sc_santa-catarina_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Lagarto Futebol Clube,Lagarto,SE,se_lagarto.svg,se_lagarto_512x512.png,se_lagarto_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Club Sportivo Sergipe,Sergipe,SE,se_sergipe.svg,se_sergipe_512x512.png,se_sergipe_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Esporte Clube Água Santa,Água Santa,SP,sp_agua-santa.svg,sp_agua-santa_512x512.png,sp_agua-santa_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Esporte Clube Noroeste Saf,Noroeste,SP,sp_noroeste.svg,sp_noroeste_512x512.png,sp_noroeste_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Portuguesa Sociedade Anônima do Futebol,Portuguesa,SP,sp_portuguesa.svg,sp_portuguesa_512x512.png,sp_portuguesa_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Associação Esportiva Velo Clube Rioclarense,Velo Clube,SP,sp_velo-clube.svg,sp_velo-clube_512x512.png,sp_velo-clube_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Esporte Clube XV de Novembro,XV de Piracicaba,SP,sp_xv-de-piracicaba.svg,sp_xv-de-piracicaba_512x512.png,sp_xv-de-piracicaba_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Araguaina Futebol e Regatas,Araguaína,TO,to_araguaina.svg,to_araguaina_512x512.png,to_araguaina_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Tocantinópolis Esporte Clube,Tocantinópolis,TO,to_tocantinopolis.svg,to_tocantinopolis_512x512.png,to_tocantinopolis_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Instituto Bosco Brasil Binda-Instituto 3B,Instituto 3B,AM,am_3b-da-amazonia.svg,am_3b-da-amazonia_512x512.png,am_3b-da-amazonia_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Itacoatiara Futebol Clube,Itacoatiara,AM,am_itacoatiara.svg,am_itacoatiara_512x512.png,am_itacoatiara_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Penarol Atlético Clube,Penarol-AM,AM,am_penarol.svg,am_penarol_512x512.png,am_penarol_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Portuguesa de Desporto do Amapá,Portuguesa-AP,AP,ap_portuguesa.svg,ap_portuguesa_512x512.png,ap_portuguesa_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Ypiranga Clube,Ypiranga,AP,ap_ypiranga.svg,ap_ypiranga_512x512.png,ap_ypiranga_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Doce Mel Esporte Clube,Doce Mel,BA,ba_doce-mel.svg,ba_doce-mel_512x512.png,ba_doce-mel_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
R4 Esporte Clube,R4,CE,ce_r4.svg,ce_r4_512x512.png,ce_r4_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Clube Recreativo Esportivo dos Subtenentes da PM do DF,CRESSPOM,DF,df_cresspom.svg,df_cresspom_512x512.png,df_cresspom_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Minas Brasília Tênis Clube,Minas Brasília,DF,.svg,.png,.png,Brasileiro série A2,não participou,não participou,https://www.lance.com.br/futebol-femdf_minas-brasilia.svg,df_minas-brasilia_512x512.png,df_minas-brasilia_3000x3000.png,Brasileiro série A2,não participou,não participou
Prosperidade Futebol Clube,Prosperidade,ES,es_prosperidade.svg,es_prosperidade_512x512.png,es_prosperidade_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Planalto Esporte Clube,Planalto,GO,go_planalto.svg,go_planalto_512x512.png,go_planalto_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Araguari Atlético Clube,Araguari,MG,mg_araguari.svg,mg_araguari_512x512.png,mg_araguari_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Itabirito Futebol Clube - SAF,Itabirito,MG,mg_itabirito.svg,mg_itabirito_512x512.png,mg_itabirito_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Futebol Clube Pantanal SAF,Pantanal,MS,ms_pantanal.svg,ms_pantanal_512x512.png,ms_pantanal_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Sociedade Ação Futebol,Ação,MT,mt_acao.svg,mt_acao_512x512.png,mt_acao_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Associação Atlética Tiradentes,Tiradentes-PA,PA,pa_tiradentes.svg,pa_tiradentes_512x512.png,pa_tiradentes_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Mixto Esporte Clube,Mixto-PB,PB,pb_mixto-pb.svg,pb_mixto-pb_512x512.png,pb_mixto-pb_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Ipojuca Atlético Clube,Ipojuca,PE,pe_ipojuca.svg,pe_ipojuca_512x512.png,pe_ipojuca_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Associação Esportiva Guarani de Paripueira,Guarani de Paripueira,AL,al_guarani-de-paripueira.svg,al_guarani-de-paripueira_512x512.png,al_guarani-de-paripueira_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
União Desportiva Alagoana,UDA,AL,al_uda.svg,al_uda_512x512.png,al_uda_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Clube Atlético Piauiense,Atlético-PI,PI,pi_atletico-piauiense.svg,pi_atletico-piauiense_512x512.png,pi_atletico-piauiense_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Liga Sanjoanense,Liga Sanjoanense,PI,pi_liga-sanjoanense.svg,pi_liga-sanjoanense_512x512.png,pi_liga-sanjoanense_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Real Futebol Clube Heips,Heips,RJ,rj_heips.svg,rj_heips_512x512.png,rj_heips_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Viva Rio Pérolas Negras,Pérolas Negras,RJ,rj_perolas-negras.svg,rj_perolas-negras_512x512.png,rj_perolas-negras_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Sociedade Esportiva União,União,RN,rn_uniao.svg,rn_uniao_512x512.png,rn_uniao_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Associação Desportiva Itapuense,Itapuense,RO,ro_itapuense.svg,ro_itapuense_512x512.png,ro_itapuense_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Rolim de Moura Esporte Clube,Rolim de Moura,RO,ro_rolim-de-moura.svg,ro_rolim-de-moura_512x512.png,ro_rolim-de-moura_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Atlético Rio Negro Clube,Rio Negro,RR,rr_rio-negro.svg,rr_rio-negro_512x512.png,rr_rio-negro_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Sociedade Esportiva Recreativa e Cultural Brasil,Brasil de Farroupilha,RS,rs_brasil-de-farroupilha.svg,rs_brasil-de-farroupilha_512x512.png,rs_brasil-de-farroupilha_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Clube Esportivo Juventude,Juventude-SE,SE,se_juventude.svg,se_juventude_512x512.png,se_juventude_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Associação Desportiva Taubaté,Taubate,SP,sp_taubate.svg,sp_taubate_512x512.png,sp_taubate_3000x3000.png,Brasileiro série A2,não participou,não participou,,,,,,
Associação Esportiva Realidade Jovem Rio Preto,Realidade Jovem,SP,sp_realidade-jovem.svg,sp_realidade-jovem_512x512.png,sp_realidade-jovem_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Grêmio Esportivo Mauaense,Mauaense,SP,sp_mauaense.svg,sp_mauaense_512x512.png,sp_mauaense_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
São José Esporte Clube SAF,São José,SP,sp_sao-jose.svg,sp_sao-jose_512x512.png,sp_sao-jose_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Paraíso Esporte Clube,Paraíso,TO,to_paraiso.svg,to_paraiso_512x512.png,to_paraiso_3000x3000.png,Brasileiro série A3,não participou,não participou,,,,,,
Várzea Grande Esporte Clube,VGE,MT,mt_varzea-grande-esporte-clube.svg,mt_varzea-grande-esporte-clube_512x512.png,mt_varzea-grande-esporte-clube_64x64.png,Brasileiro série A3,não participou,não participou,https://ge.globo.com/mt/futebol/noticia/2025/10/17/dois-clubes-de-mato-grosso-planejam-mudar-de-nome-e-identidade-a-partir-de-2026.ghtml,,,,,
